unix_time,cmd_rpm,measured_rpm,i_dc_mv
1785368499.599,2400,1678,1834
1785368499.599,2400,1812,1838
1785368499.802,2400,2042,1844
1785368499.802,2400,2194,1848
1785368500.004,2400,2253,1851
1785368500.004,2400,2286,1852
1785368500.206,2400,2299,1853
1785368500.206,2400,2309,1854
1785368500.410,2400,2308,1854
1785368500.410,2400,2306,1855
1785368500.614,2400,2307,1855
1785368500.614,2400,2308,1855
1785368500.816,2400,2308,1855
1785368500.816,2400,2306,1855
1785368501.020,2400,2310,1855
1785368501.021,2400,2312,1855
1785368501.223,2400,2307,1855
1785368501.223,2400,2308,1855
1785368501.428,2400,2312,1856
1785368501.428,2400,2310,1856
1785368501.631,2400,2310,1856
1785368501.631,2400,2307,1855
1785368501.834,2400,2310,1855
1785368501.834,2400,2309,1855
1785368502.036,2400,2311,1855
1785368502.036,2400,2310,1855
1785368502.238,2400,2307,1855
1785368502.238,2400,2308,1856
1785368502.442,2400,2311,1855
1785368502.442,2400,2308,1855
1785368502.646,2400,2309,1855
1785368502.646,2400,2310,1855
1785368502.850,2400,2311,1855
1785368502.850,2400,2308,1855
1785368503.055,2400,2309,1855
1785368503.055,2400,2312,1855
1785368503.256,2400,2309,1855
1785368503.256,2400,2308,1855
1785368503.458,2400,2311,1856
1785368503.458,2400,2310,1856
1785368503.662,2400,2311,1855
1785368503.662,2400,2309,1855
1785368503.867,2400,2311,1855
1785368503.867,2400,2309,1855
1785368504.071,2400,2306,1855
1785368504.071,2400,2307,1855
1785368504.273,2400,2309,1854
1785368504.273,2400,2310,1854
1785368504.477,2400,2311,1854
1785368504.477,2400,2309,1854
1785368504.679,2400,2308,1854
1785368504.679,2400,2307,1854
1785368504.882,2400,2310,1854
1785368504.882,2400,2310,1854
1785368505.085,2400,2311,1854
1785368505.085,2400,2310,1854
1785368505.286,2400,2310,1854
1785368505.286,2400,2307,1854
1785368505.490,2400,2307,1855
1785368505.490,2400,2309,1855
1785368505.693,2400,2311,1854
1785368505.693,2400,2312,1854
1785368505.896,2400,2307,1854
1785368505.896,2400,2311,1855
1785368506.098,2400,2309,1855
1785368506.098,2400,2309,1855
1785368506.303,2400,2310,1855
1785368506.303,2400,2308,1855
1785368506.503,2400,2309,1855
1785368506.503,2400,2307,1855
1785368506.705,2400,2300,1855
1785368506.705,2400,2289,1856
1785368506.909,2400,2297,1857
1785368506.909,2400,2302,1858
1785368507.110,2400,2304,1859
1785368507.110,2400,2310,1859
1785368507.314,2400,2308,1859
1785368507.314,2400,2307,1860
1785368507.517,2400,2310,1860
1785368507.517,2400,2317,1860
1785368507.719,2400,2319,1859
1785368507.719,2400,2317,1858
1785368507.922,2400,2307,1857
1785368507.922,2400,2302,1858
1785368507.922,2400,2303,1858
1785368508.125,2400,2310,1859
1785368508.125,2400,2312,1859
1785368508.329,2400,2310,1858
1785368508.329,2400,2313,1858
1785368508.531,2400,2307,1858
1785368508.531,2400,2307,1859
1785368508.732,2400,2308,1859
1785368508.732,2400,2310,1859
1785368508.934,2400,2310,1859
1785368508.934,2400,2308,1860
1785368509.136,2400,2307,1860
1785368509.136,2400,2310,1860
1785368509.339,2400,2316,1860
1785368509.339,2400,2313,1859
1785368509.543,2400,2313,1859
1785368509.543,2400,2306,1858
1785368509.745,2400,2306,1858
1785368509.745,2400,2310,1858
1785368509.948,2400,2307,1859
1785368509.948,2400,2312,1859
1785368510.153,2400,2306,1859
1785368510.153,2400,2308,1859
1785368510.356,2400,2311,1859
1785368510.356,2400,2310,1859
1785368510.558,2400,2309,1860
1785368510.558,2400,2307,1859
1785368510.760,2400,2310,1859
1785368510.760,2400,2309,1859
1785368510.961,2400,2311,1859
1785368510.961,2400,2309,1859
1785368511.164,2400,2311,1859
1785368511.164,2400,2313,1859
1785368511.365,2400,2311,1859
1785368511.365,2400,2309,1859
1785368511.568,2400,2310,1859
1785368511.568,2400,2312,1859
1785368511.770,2400,2306,1860
1785368511.770,2400,2314,1860
1785368511.974,2400,2304,1860
1785368511.974,2400,2310,1860
1785368512.178,2400,2309,1860
1785368512.178,2400,2311,1860
1785368512.382,2400,2312,1860
1785368512.382,2400,2312,1860
1785368512.586,2400,2304,1860
1785368512.586,2400,2307,1860
1785368512.790,2400,2309,1860
1785368512.790,2400,2310,1860
1785368512.993,2400,2310,1860
1785368512.993,2400,2309,1860
1785368513.195,2400,2311,1860
1785368513.195,2400,2307,1860
1785368513.399,2400,2310,1860
1785368513.399,2400,2309,1860
1785368513.601,2400,2309,1859
1785368513.601,2400,2305,1859
1785368513.802,2400,2308,1859
1785368513.802,2400,2308,1859
1785368514.005,2400,2306,1859
1785368514.005,2400,2312,1859
1785368514.208,2400,2308,1859
1785368514.208,2400,2308,1859
1785368514.411,2400,2308,1859
1785368514.411,2400,2308,1859
1785368514.615,2400,2310,1859
1785368514.615,2400,2308,1859
1785368514.817,2400,2308,1859
1785368514.817,2400,2310,1859
1785368515.019,2400,2311,1859
1785368515.019,2400,2311,1859
1785368515.222,2400,2309,1859
1785368515.222,2400,2307,1859
1785368515.425,2400,2306,1859
1785368515.425,2400,2311,1859
1785368515.628,2400,2310,1859
1785368515.628,2400,2310,1858
1785368515.830,2400,2310,1858
1785368515.830,2400,2309,1858
1785368516.030,2400,2309,1858
1785368516.030,2400,2310,1858
1785368516.232,2400,2311,1858
